leiden,celltype
37,NailEpithelium_Keratinocyte
11,NailEpithelium_Keratinocyte
47,NailEpithelium_Keratinocyte
0,Osteosarcoma
4,Osteosarcoma
24,Osteosarcoma
23,Osteosarcoma
19,Osteosarcoma
5,Osteosarcoma
28,Osteosarcoma
3,Osteosarcoma
32,Osteosarcoma
26,Osteosarcoma
8,Osteosarcoma
39,SweatGland
2,Fibroblast
42,Osteoblast
44,Osteoblast
10,Osteoblast
12,Osteoblast
31,Osteoblast
21,Osteoblast
22,Osteoblast
45,Fibroblast
27,Fibroblast
15,Macrophage
14,Macrophage
16,Macrophage
7,Macrophage
17,Macrophage
25,Macrophage
38,Macrophage
33,Macrophage
9,SMC_Pericyte
29,B-Cells
46,T-Cells
1,T-Cells
20,Neutrophil
40,Chondrocyte
36,Schwann
13,Synoviocyte
34,Lymphatic_Endothelial
35,Osteoclast
33,Osteoclast
6,Endothelial
30,Endothelial
41,Endothelial
18,Endothelial
43,MAST
